customer_state,品类,件数,件均价
RN,automotivo,19,222.24
RN,ferramentas_jardim,18,155.63
RN,bebes,15,155.63
RN,papelaria,13,261.77
RN,pet_shop,13,177.05
RN,eletronicos,12,28.35
RN,construcao_ferramentas_construcao,8,206.95
RN,fashion_bolsas_e_acessorios,8,181.97
RN,consoles_games,6,275.83
RN,未分类,6,96.42
RN,moveis_escritorio,5,248.94
RN,alimentos_bebidas,4,89.01
RN,construcao_ferramentas_jardim,3,54.57
RN,eletroportateis,3,88.99
RN,moveis_quarto,3,84.0
RN,alimentos,2,34.95
RN,eletrodomesticos,2,217.12
RN,eletrodomesticos_2,2,719.95
RN,instrumentos_musicais,2,204.9
RN,market_place,2,64.9
RN,moveis_cozinha_area_de_servico_jantar_e_jardim,2,169.95
RN,artes,1,79.99
RN,artigos_de_natal,1,19.83
RN,audio,1,189.0
RN,casa_conforto,1,89.9
RN,casa_construcao,1,452.6
RN,construcao_ferramentas_seguranca,1,138.9
RN,dvds_blu_ray,1,16.9
RN,fashion_calcados,1,199.7
RN,industria_comercio_e_negocios,1,150.0
RN,livros_tecnicos,1,65.0
RN,malas_acessorios,1,299.9
RN,moveis_colchao_e_estofado,1,249.0
RN,sinalizacao_e_seguranca,1,75.0
RJ,cama_mesa_banho,1605,89.88
RJ,moveis_decoracao,1057,90.39
RJ,beleza_saude,1028,136.42
RJ,esporte_lazer,1015,118.48
RJ,informatica_acessorios,976,119.96
RJ,relogios_presentes,846,206.73
RJ,utilidades_domesticas,845,87.67
RJ,ferramentas_jardim,634,112.11
RJ,brinquedos,570,127.46
RJ,cool_stuff,502,159.41
RJ,perfumaria,439,120.71
RJ,automotivo,431,149.42
RJ,eletronicos,430,59.36
RJ,telefonia,419,86.94
RJ,bebes,347,118.49
RJ,papelaria,319,97.86
RJ,moveis_escritorio,301,150.21
RJ,未分类,212,107.2
RJ,pet_shop,211,117.33
RJ,fashion_bolsas_e_acessorios,199,81.69
RJ,consoles_games,136,120.61
RJ,construcao_ferramentas_construcao,119,172.8
RJ,malas_acessorios,119,122.67
RJ,moveis_sala,115,143.66
RJ,eletroportateis,85,341.4
RJ,eletrodomesticos,79,111.33
RJ,instrumentos_musicais,77,260.55
RJ,casa_construcao,71,98.42
RJ,climatizacao,67,232.78
RJ,casa_conforto,61,130.41
RJ,audio,58,161.39
RJ,bebidas,53,104.24
RJ,alimentos_bebidas,50,54.11
RJ,livros_interesse_geral,50,80.87
RJ,alimentos,47,59.75
RJ,moveis_cozinha_area_de_servico_jantar_e_jardim,46,159.96
RJ,eletrodomesticos_2,45,640.5
RJ,construcao_ferramentas_jardim,38,160.35
RJ,market_place,34,76.82
RJ,telefonia_fixa,33,542.15
RJ,artes,32,91.7
RJ,livros_tecnicos,29,55.92
RJ,fashion_calcados,28,82.19
RJ,industria_comercio_e_negocios,28,111.66
RJ,agro_industria_e_comercio,27,316.33
RJ,construcao_ferramentas_iluminacao,21,155.14
RJ,pcs,21,1044.35
RJ,moveis_quarto,19,179.42
RJ,sinalizacao_e_seguranca,19,121.35
RJ,construcao_ferramentas_seguranca,17,160.97
RJ,fashion_underwear_e_moda_praia,17,79.97
RJ,artigos_de_natal,14,43.02
RJ,dvds_blu_ray,12,33.51
RJ,fashion_roupa_masculina,10,86.75
RJ,tablets_impressao_imagem,10,90.78
RJ,construcao_ferramentas_ferramentas,9,119.19
RJ,flores,8,31.95
RJ,moveis_colchao_e_estofado,8,127.5
RJ,musica,8,127.23
RJ,artigos_de_festas,6,48.58
RJ,portateis_casa_forno_e_cafe,6,555.35
RJ,cine_foto,5,105.72
RJ,livros_importados,5,82.76
RJ,casa_conforto_2,4,12.9
RJ,cds_dvds_musicais,2,45.0
RJ,fashion_esporte,2,64.9
RJ,fraldas_higiene,2,97.45
RJ,pc_gamer,2,129.99
RJ,fashion_roupa_feminina,1,54.9
RJ,fashion_roupa_infanto_juvenil,1,110.0
RJ,portateis_cozinha_e_preparadores_de_alimentos,1,83.9
PR,moveis_decoracao,516,95.35
PR,esporte_lazer,476,121.12
PR,cama_mesa_banho,463,98.05
PR,beleza_saude,414,129.78
PR,informatica_acessorios,383,113.54
PR,utilidades_domesticas,336,92.75
PR,relogios_presentes,299,191.6
PR,telefonia,250,53.09
PR,automotivo,228,117.75
PR,cool_stuff,214,175.01
PR,ferramentas_jardim,207,99.56
PR,brinquedos,202,114.99
PR,eletronicos,177,51.85
PR,bebes,158,134.52
PR,perfumaria,153,103.49
PR,papelaria,126,87.72
PR,fashion_bolsas_e_acessorios,118,67.0
PR,pet_shop,89,92.24
PR,moveis_escritorio,88,168.49
PR,未分类,77,108.04
PR,construcao_ferramentas_construcao,51,180.41
PR,malas_acessorios,50,127.16
PR,consoles_games,44,128.38
PR,eletrodomesticos,44,132.37
PR,eletroportateis,41,255.08
PR,instrumentos_musicais,36,283.63
PR,livros_interesse_geral,36,81.48
PR,alimentos,27,55.76
PR,casa_construcao,24,114.5
PR,audio,18,157.85
PR,construcao_ferramentas_seguranca,18,121.36
PR,fashion_calcados,18,59.28
PR,alimentos_bebidas,16,40.84
PR,moveis_sala,16,122.54
PR,bebidas,15,96.62
PR,eletrodomesticos_2,15,333.99
PR,livros_tecnicos,15,117.63
PR,market_place,15,61.93
PR,moveis_cozinha_area_de_servico_jantar_e_jardim,14,245.65
PR,casa_conforto,13,125.93
PR,construcao_ferramentas_iluminacao,13,158.61
PR,agro_industria_e_comercio,12,408.63
PR,climatizacao,12,279.48
PR,fashion_roupa_masculina,12,88.44
PR,industria_comercio_e_negocios,11,102.54
PR,artes,8,84.24
PR,construcao_ferramentas_ferramentas,8,33.37
PR,portateis_casa_forno_e_cafe,8,1073.75
PR,moveis_quarto,7,9.04
PR,musica,7,79.8
PR,artigos_de_natal,6,31.69
PR,construcao_ferramentas_jardim,6,108.1
PR,fashion_underwear_e_moda_praia,6,44.26
PR,telefonia_fixa,6,46.61
PR,dvds_blu_ray,5,20.9
PR,pcs,4,1669.24
PR,sinalizacao_e_seguranca,3,90.6
PR,tablets_impressao_imagem,3,83.33
PR,artigos_de_festas,2,158.8
PR,cine_foto,2,146.8
PR,fashion_roupa_feminina,2,44.95
PR,fraldas_higiene,2,48.5
PR,livros_importados,2,61.0
PR,casa_conforto_2,1,12.9
PR,fashion_esporte,1,49.9
PI,beleza_saude,53,192.55
PI,relogios_presentes,41,188.69
PI,informatica_acessorios,35,142.23
PI,telefonia,35,79.62
PI,cama_mesa_banho,34,111.11
PI,automotivo,33,303.56
PI,esporte_lazer,33,167.45
PI,brinquedos,28,136.03
PI,eletronicos,21,60.81
PI,cool_stuff,20,174.54
PI,moveis_decoracao,19,71.54
PI,utilidades_domesticas,19,131.9
PI,ferramentas_jardim,16,227.68
PI,perfumaria,15,113.04
PI,bebes,12,357.76
PI,papelaria,10,112.96
PI,consoles_games,8,192.57
PI,moveis_escritorio,8,151.58
PI,pet_shop,7,199.54
PI,未分类,7,82.02
PI,instrumentos_musicais,6,230.27
PI,malas_acessorios,5,126.12
PI,audio,4,59.92
PI,casa_construcao,4,205.15
PI,construcao_ferramentas_jardim,4,75.08
PI,eletrodomesticos,4,77.12
PI,fashion_bolsas_e_acessorios,4,52.2
PI,agro_industria_e_comercio,3,106.33
PI,casa_conforto,3,166.3
PI,climatizacao,3,156.3
PI,industria_comercio_e_negocios,3,291.43
PI,pcs,3,783.33
PI,tablets_impressao_imagem,3,99.0
PI,artes,2,110.99
PI,livros_tecnicos,2,60.0
PI,market_place,2,51.44
PI,moveis_sala,2,109.9
PI,telefonia_fixa,2,155.0
PI,alimentos,1,149.9
PI,alimentos_bebidas,1,215.56
PI,artigos_de_festas,1,231.2
PI,bebidas,1,90.0
PI,construcao_ferramentas_iluminacao,1,297.0
PI,dvds_blu_ray,1,25.0
PI,eletrodomesticos_2,1,599.5
PI,fashion_calcados,1,199.7
PI,fashion_underwear_e_moda_praia,1,152.0
PI,livros_interesse_geral,1,133.9
PE,beleza_saude,233,174.61
PE,relogios_presentes,163,189.54
PE,esporte_lazer,140,130.33
PE,telefonia,127,83.15
PE,informatica_acessorios,106,122.48
PE,moveis_decoracao,94,95.95
PE,cama_mesa_banho,90,101.6
PE,automotivo,79,138.41
PE,cool_stuff,79,180.32
PE,ferramentas_jardim,64,105.7
PE,brinquedos,61,137.89
PE,utilidades_domesticas,58,87.96
PE,perfumaria,48,135.6
PE,papelaria,47,95.14
PE,bebes,41,120.47
PE,eletronicos,38,49.86
PE,fashion_bolsas_e_acessorios,33,65.73
PE,pet_shop,23,124.56
PE,未分类,23,179.9
PE,moveis_escritorio,20,175.98
PE,consoles_games,19,293.28
PE,malas_acessorios,13,125.79
PE,construcao_ferramentas_construcao,12,216.15
PE,instrumentos_musicais,11,582.77
PE,fashion_calcados,10,114.96
PE,pcs,9,883.0
PE,alimentos,8,75.44
PE,casa_conforto,8,121.3
PE,casa_construcao,7,191.66
PE,livros_interesse_geral,7,74.8
PE,construcao_ferramentas_jardim,6,165.92
PE,agro_industria_e_comercio,5,1122.38
PE,alimentos_bebidas,5,134.4
PE,eletrodomesticos,5,47.53
PE,artigos_de_natal,4,93.11
PE,audio,4,110.45
PE,livros_tecnicos,4,78.35
PE,market_place,4,68.74
PE,moveis_cozinha_area_de_servico_jantar_e_jardim,4,262.97
PE,construcao_ferramentas_seguranca,3,275.39
PE,eletroportateis,3,260.63
PE,moveis_sala,3,102.93
PE,telefonia_fixa,3,29.96
PE,construcao_ferramentas_iluminacao,2,169.99
PE,dvds_blu_ray,2,17.4
PE,eletrodomesticos_2,2,480.0
PE,fashion_underwear_e_moda_praia,2,100.95
PE,flores,2,54.9
PE,industria_comercio_e_negocios,2,219.0
PE,sinalizacao_e_seguranca,2,38.9
PE,tablets_impressao_imagem,2,99.0
PE,artes,1,110.99
PE,cine_foto,1,49.8
PE,climatizacao,1,186.9
PE,construcao_ferramentas_ferramentas,1,190.0
PE,pc_gamer,1,129.99
PE,portateis_casa_forno_e_cafe,1,640.99
PB,beleza_saude,76,206.47
PB,informatica_acessorios,53,135.76
PB,moveis_decoracao,42,105.76
PB,relogios_presentes,41,319.58
PB,cama_mesa_banho,32,109.21
PB,esporte_lazer,31,132.09
PB,telefonia,26,121.06
PB,cool_stuff,25,218.33
PB,utilidades_domesticas,23,106.25
PB,automotivo,22,188.24
PB,papelaria,18,118.34
PB,perfumaria,18,133.45
PB,brinquedos,16,213.0
PB,ferramentas_jardim,15,372.67
PB,fashion_bolsas_e_acessorios,14,75.79
PB,eletronicos,13,197.96
PB,bebes,12,153.55
PB,moveis_escritorio,10,119.13
PB,未分类,9,304.84
PB,construcao_ferramentas_seguranca,8,73.74
PB,pet_shop,8,98.31
PB,consoles_games,7,124.77
PB,malas_acessorios,7,152.36
PB,sinalizacao_e_seguranca,6,175.0
PB,casa_construcao,5,191.85
PB,livros_interesse_geral,5,36.94
PB,telefonia_fixa,5,369.16
PB,eletroportateis,4,517.09
PB,instrumentos_musicais,4,251.95
PB,pcs,4,1782.0
PB,industria_comercio_e_negocios,3,1107.32
PB,market_place,3,140.93
PB,moveis_sala,3,157.63
PB,alimentos,2,63.45
PB,eletrodomesticos,2,1155.0
PB,fashion_calcados,2,71.82
PB,fashion_roupa_feminina,2,54.9
PB,agro_industria_e_comercio,1,59.99
PB,artes,1,110.99
PB,audio,1,79.0
PB,casa_conforto,1,86.9
PB,climatizacao,1,35.9
PB,construcao_ferramentas_construcao,1,226.9
PB,construcao_ferramentas_ferramentas,1,309.0
PB,construcao_ferramentas_jardim,1,599.9
PB,fraldas_higiene,1,47.0
PB,moveis_cozinha_area_de_servico_jantar_e_jardim,1,409.0
PA,beleza_saude,105,224.25
PA,informatica_acessorios,86,132.46
PA,esporte_lazer,81,151.84
PA,telefonia,77,104.38
PA,relogios_presentes,73,296.38
PA,moveis_decoracao,69,128.52
PA,automotivo,49,154.52
PA,cool_stuff,46,140.3
PA,bebes,44,224.61
PA,cama_mesa_banho,38,92.28
PA,ferramentas_jardim,37,154.55
PA,utilidades_domesticas,37,124.19
PA,perfumaria,35,128.01
PA,fashion_bolsas_e_acessorios,31,67.82
PA,eletronicos,28,102.71
PA,brinquedos,27,138.21
PA,moveis_escritorio,26,149.43
PA,papelaria,22,113.49
PA,未分类,18,474.95
PA,consoles_games,14,143.84
PA,pet_shop,11,179.99
PA,instrumentos_musicais,10,173.34
PA,eletrodomesticos,9,71.08
PA,eletroportateis,9,374.03
PA,malas_acessorios,7,216.52
PA,artigos_de_natal,6,116.9
PA,livros_interesse_geral,5,34.34
PA,market_place,5,97.03
PA,fashion_calcados,4,135.6
PA,fashion_esporte,4,39.9
PA,pcs,4,829.75
PA,tablets_impressao_imagem,4,90.45
PA,cine_foto,3,83.23
PA,fashion_underwear_e_moda_praia,3,60.57
PA,sinalizacao_e_seguranca,3,49.9
PA,agro_industria_e_comercio,2,554.99
PA,artes,2,84.94
PA,casa_construcao,2,124.9
PA,construcao_ferramentas_construcao,2,243.94
PA,fashion_roupa_masculina,2,128.44
PA,livros_importados,2,64.99
